,ob_time,wind_direction,wind_speed,air_temperature,dewpoint,rltv_hum,prcp_amt
0,2011-11-23 00:00:00,270.0,1.0,4.6,4.0,95.2,0.0
1,2011-11-23 01:00:00,320.0,1.0,3.6,3.1,96.6,0.0
2,2011-11-23 02:00:00,310.0,2.0,3.7,3.3,96.6,0.0
3,2011-11-23 03:00:00,280.0,2.0,4.5,4.2,98.3,0.0
4,2011-11-23 04:00:00,240.0,2.0,2.4,2.0,96.4,0.0
5,2011-11-23 05:00:00,230.0,2.0,2.9,2.6,98.1,0.0
6,2011-11-23 06:00:00,240.0,2.0,3.5,3.3,98.3,0.0
7,2011-11-23 07:00:00,270.0,3.0,3.6,3.4,98.2,0.0
8,2011-11-23 08:00:00,200.0,1.0,3.7,3.5,98.4,0.0
9,2011-11-23 09:00:00,220.0,2.0,4.2,4.0,98.3,0.0
10,2011-11-23 10:00:00,270.0,3.0,4.5,4.3,98.3,0.0
11,2011-11-23 11:00:00,210.0,2.0,6.0,5.8,98.5,0.0
12,2011-11-23 12:00:00,210.0,2.0,7.8,6.8,92.8,0.0
13,2011-11-23 13:00:00,220.0,3.0,9.5,7.3,86.7,0.0
14,2011-11-23 14:00:00,230.0,3.0,10.6,7.6,82.3,0.0
15,2011-11-23 15:00:00,210.0,2.0,10.0,7.8,85.7,0.0
16,2011-11-23 16:00:00,170.0,2.0,9.2,7.5,89.3,0.0
17,2011-11-23 17:00:00,220.0,2.0,7.8,6.8,92.8,0.0
18,2011-11-23 18:00:00,200.0,2.0,6.9,6.2,95.6,0.0
19,2011-11-23 19:00:00,210.0,2.0,7.0,6.5,97.0,0.0
20,2011-11-23 20:00:00,220.0,3.0,6.6,6.2,97.0,0.0
21,2011-11-23 21:00:00,220.0,2.0,6.3,6.1,98.4,0.0
22,2011-11-23 22:00:00,190.0,2.0,6.5,6.2,98.6,0.0
23,2011-11-23 23:00:00,220.0,3.0,6.8,6.5,98.6,0.0
24,2011-11-24 00:00:00,200.0,2.0,6.1,5.9,98.4,0.0
25,2011-11-24 01:00:00,230.0,2.0,7.3,7.1,98.5,0.0
26,2011-11-24 02:00:00,220.0,2.0,6.5,6.2,98.6,0.0
27,2011-11-24 03:00:00,230.0,3.0,8.0,7.8,98.6,0.2
28,2011-11-24 04:00:00,210.0,4.0,8.5,8.3,98.6,0.0
29,2011-11-24 05:00:00,220.0,3.0,8.8,8.5,98.6,0.0
30,2011-11-24 06:00:00,210.0,3.0,8.4,8.0,97.2,0.0
31,2011-11-24 07:00:00,210.0,2.0,7.9,7.6,98.6,0.0
32,2011-11-24 08:00:00,200.0,3.0,7.7,7.5,98.6,0.0
33,2011-11-24 09:00:00,200.0,4.0,9.3,9.1,98.6,0.2
34,2011-11-24 10:00:00,210.0,3.0,10.4,10.0,97.4,0.0
35,2011-11-24 11:00:00,200.0,5.0,11.8,10.4,91.4,0.0
36,2011-11-24 12:00:00,210.0,4.0,13.6,10.2,79.7,0.0
37,2011-11-24 13:00:00,210.0,6.0,12.7,8.9,77.9,0.0
38,2011-11-24 14:00:00,210.0,7.0,12.7,8.2,74.5,0.0
39,2011-11-24 15:00:00,200.0,7.0,12.1,7.8,75.1,0.0
40,2011-11-24 16:00:00,190.0,6.0,10.5,6.5,76.1,0.0
41,2011-11-24 17:00:00,190.0,5.0,9.2,6.4,82.6,0.0
42,2011-11-24 18:00:00,190.0,5.0,9.1,7.1,87.9,0.0
43,2011-11-24 19:00:00,180.0,4.0,8.9,7.3,89.0,0.0
44,2011-11-24 20:00:00,180.0,5.0,9.8,7.6,85.6,0.0
45,2011-11-24 21:00:00,190.0,5.0,10.2,8.3,88.4,0.0
46,2011-11-24 22:00:00,190.0,7.0,11.1,9.2,87.5,0.0
47,2011-11-24 23:00:00,190.0,7.0,11.5,9.1,85.3,0.0
48,2011-11-25 00:00:00,190.0,7.0,11.6,9.2,85.4,0.0
49,2011-11-25 01:00:00,190.0,6.0,11.9,9.5,85.4,0.0
50,2011-11-25 02:00:00,200.0,8.0,12.3,9.9,85.7,0.0
51,2011-11-25 03:00:00,210.0,7.0,13.0,9.9,81.4,0.0
52,2011-11-25 04:00:00,220.0,5.0,13.0,10.4,83.7,0.0
53,2011-11-25 05:00:00,220.0,6.0,12.8,11.1,89.4,0.0
54,2011-11-25 06:00:00,260.0,5.0,12.5,11.6,94.0,0.0
55,2011-11-25 07:00:00,260.0,6.0,11.3,8.7,83.9,0.2
56,2011-11-25 08:00:00,250.0,6.0,10.6,8.0,83.5,0.0
57,2011-11-25 09:00:00,240.0,4.0,10.0,7.7,85.7,0.2
58,2011-11-25 10:00:00,250.0,8.0,11.7,7.8,77.1,0.0
59,2011-11-25 11:00:00,260.0,8.0,11.9,5.7,65.7,0.0
60,2011-11-25 12:00:00,270.0,10.0,12.4,4.9,59.8,0.0
61,2011-11-25 13:00:00,270.0,9.0,12.8,5.6,61.4,0.0
62,2011-11-25 14:00:00,270.0,10.0,11.7,4.1,59.9,0.0
63,2011-11-25 15:00:00,260.0,9.0,11.2,4.6,63.7,0.0
